method,punctuality_prob,objective_gap,tie_aware_correct,path_length,mean_time,late_count,delay_sum,max_delay,solve_time,correct,repeat,od_idx,origin,dest,alpha
ILP,0.954,0.0,True,109,10.327659467889008,23,20.766397084573534,2.548067663880518,47.775577783584595,True,0,0,145,507,0.7
MILP,0.952,0.0020000000000000018,False,134,10.525495272555773,24,18.88801896192792,3.1958736683625855,23.7755184173584,False,0,0,145,507,0.7
Dijkstra,0.954,0.0,True,109,10.327659467889008,23,20.766397084573534,2.548067663880518,0.004818339999928867,True,0,0,145,507,0.7
ILP,0.874,0.0,True,109,10.304689311339247,63,91.8420984269859,5.12843497121715,120.2488100528717,True,1,0,145,507,0.5
MILP,0.87,0.0040000000000000036,False,134,10.47472443012179,65,61.611936477846214,4.71755989324344,17.000226259231567,False,1,0,145,507,0.5
Dijkstra,0.874,0.0,True,109,10.304689311339247,63,91.8420984269859,5.12843497121715,0.003160982999361295,True,1,0,145,507,0.5
ILP,0.982,0.0,True,85,6.92064462429567,9,9.609482288098333,2.9072029352931263,27.299434900283813,True,1,8,195,60,0.7
MILP,0.972,0.010000000000000009,False,134,8.424594301908666,14,6.210350988273278,2.5146508486315895,21.22470450401306,False,1,8,195,60,0.7
Dijkstra,0.982,0.0,True,85,6.920644624295671,9,9.609482288098329,2.907202935293123,0.003939811000236659,False,1,8,195,60,0.7
ILP,0.998,0.0,True,39,2.2610373500807124,1,1.8419689216258277,1.8419689216258277,5.64560866355896,True,2,7,362,294,0.9
MILP,0.996,0.0020000000000000018,False,58,4.068208693043416,2,0.498011226687022,0.3906620389423576,3.976344108581543,False,2,7,362,294,0.9
Dijkstra,0.998,0.0,True,39,2.2610373500807124,1,1.8419689216258277,1.8419689216258277,0.006047624001439544,True,2,7,362,294,0.9
ILP,0.996,0.0,True,86,7.270309675329684,2,3.9702866235047374,2.9678127779489714,11.74767255783081,True,2,8,195,60,0.7
MILP,0.992,0.0040000000000000036,False,134,8.384354781693041,4,2.831673816317265,2.4868098745577996,21.70808744430542,False,2,8,195,60,0.7
Dijkstra,0.996,0.0,True,85,6.86687978182032,2,3.2938616659130826,2.638262866640238,0.002562966001278255,False,2,8,195,60,0.7
ILP,0.84,0.0,True,45,2.777981875763346,80,25.21353061118249,1.3279172637197303,36.8747353553772,True,2,9,510,438,0.5
MILP,0.832,0.008000000000000007,False,50,2.7954063680599,84,24.267103691179166,1.5158985060559398,7.04816746711731,False,2,9,510,438,0.5
Dijkstra,0.84,0.0,True,45,2.777981875763346,80,25.21353061118249,1.3279172637197303,0.0037684230010199826,True,2,9,510,438,0.5
