method,punctuality_prob,objective_gap,tie_aware_correct,path_length,mean_time,late_count,delay_sum,max_delay,solve_time,correct,repeat,od_idx,origin,dest,alpha
ILP,0.96,0.0,True,9,340.1290793071834,20,2060.070365227086,758.2435795944701,0.14674161999573698,True,0,6,32,44,0.6
MILP,0.918,0.041999999999999926,False,10,382.4463462491417,41,2053.113174084304,196.6131115067609,0.17270508799992967,False,0,6,32,44,0.6
Dijkstra,0.96,0.0,True,9,340.1290793071834,20,2060.070365227086,758.2435795944701,0.0005179069994483143,True,0,6,32,44,0.6
ILP,0.982,0.0,True,9,340.1290793071834,9,1411.769827705932,709.09030171778,0.12588480900012655,True,0,6,32,44,0.7
MILP,0.978,0.0040000000000000036,False,10,382.4463462491417,11,849.5299628235125,147.45983363007076,0.08538111799862236,False,0,6,32,44,0.7
Dijkstra,0.982,0.0,True,9,340.1290793071834,9,1411.769827705932,709.09030171778,0.00040574799641035497,True,0,6,32,44,0.7
ILP,0.998,0.0,True,7,206.20520775418174,1,726.0645492125168,726.0645492125168,0.08677321999857668,True,0,7,50,22,0.6
MILP,0.984,0.014000000000000012,False,9,342.0762441438805,8,387.5904856810886,228.72801827085027,0.08450259399978677,False,0,7,50,22,0.6
Dijkstra,0.998,0.0,True,7,206.20520775418174,1,726.0645492125168,726.0645492125168,0.0003527289954945445,True,0,7,50,22,0.6
ILP,0.998,0.0,True,7,206.20520775418174,1,668.8825446448043,668.8825446448043,0.08862200300063705,True,0,7,50,22,0.7
MILP,0.996,0.0020000000000000018,False,9,342.0762441438805,2,181.2616874408419,171.54601370313776,0.08723558999918168,False,0,7,50,22,0.7
Dijkstra,0.998,0.0,True,7,206.20520775418174,1,668.8825446448043,668.8825446448043,0.00034142599906772375,True,0,7,50,22,0.7
ILP,0.998,0.0,True,3,110.95738649321062,1,462.1435124014199,462.1435124014199,0.14822003599692835,True,0,11,1,32,0.7
MILP,0.98,0.018000000000000016,False,7,397.94795238305835,10,393.98463612479077,128.41512297750444,0.415861789995688,False,0,11,1,32,0.7
Dijkstra,0.994,0.0040000000000000036,False,3,105.40104170386888,3,686.4064945714304,601.6975260369038,0.00031550200219498947,False,0,11,1,32,0.7
ILP,0.998,0.0,True,3,110.95738649321062,1,419.3384714089184,419.3384714089184,0.2918273569957819,True,0,11,1,32,0.8
MILP,0.994,0.0040000000000000036,False,7,397.94795238305835,3,173.8229755383502,85.61008198500292,0.293203708002693,False,0,11,1,32,0.8
Dijkstra,0.996,0.0020000000000000018,False,3,105.40104170386888,2,565.5551455972073,558.8924850444023,0.0002897950034821406,False,0,11,1,32,0.8
ILP,0.998,0.0,True,3,105.40104170386888,1,516.0874440519008,516.0874440519008,0.1743827530008275,True,0,11,1,32,0.9
MILP,0.996,0.0020000000000000018,False,7,397.94795238305835,2,68.40882858427233,42.805040992501404,0.16527113600022858,False,0,11,1,32,0.9
Dijkstra,0.998,0.0,True,3,105.40104170386888,1,516.0874440519008,516.0874440519008,0.0002940240010502748,False,0,11,1,32,0.9
ILP,0.996,0.0,True,8,319.6633769171034,2,673.5104999229561,582.5960087505196,0.09427868499915348,True,0,13,32,16,0.8
MILP,0.99,0.006000000000000005,False,10,455.53441330680215,5,406.7099596254387,111.6933182296666,0.08660087500174996,False,0,13,32,16,0.8
Dijkstra,0.996,0.0,True,8,319.6633769171034,2,673.5104999229561,582.5960087505196,0.0003889459985657595,True,0,13,32,16,0.8
ILP,0.996,0.0,True,8,319.6633769171034,2,561.8171816932895,526.7493496356863,0.09525132000271697,True,0,13,32,16,0.9
MILP,0.992,0.0040000000000000036,False,10,455.53441330680215,4,180.886433855659,55.8466591148333,0.08343040999898221,False,0,13,32,16,0.9
Dijkstra,0.996,0.0,True,8,319.6633769171034,2,561.8171816932895,526.7493496356863,0.0003766709996853024,True,0,13,32,16,0.9
ILP,0.994,0.0,True,7,308.3464004939954,3,930.9250236536403,747.544615151307,0.14591130099870497,True,0,15,41,63,0.8
MILP,0.96,0.03400000000000003,False,7,370.6376465895899,20,772.1031646660947,92.59647488132737,0.38733944600244286,False,0,15,41,63,0.8
Dijkstra,0.994,0.0,True,7,308.3464004939954,3,930.9250236536403,747.544615151307,0.00039674500294495374,True,0,15,41,63,0.8
ILP,0.994,0.0,True,7,308.3464004939954,3,792.0303113316493,701.2463777106433,0.2849122389961849,True,0,15,41,63,0.9
MILP,0.982,0.01200000000000001,False,7,370.6376465895899,9,135.86256296632143,46.298237440663684,0.16109451700322097,False,0,15,41,63,0.9
Dijkstra,0.994,0.0,True,7,308.3464004939954,3,792.0303113316493,701.2463777106433,0.0003707229989231564,True,0,15,41,63,0.9
ILP,0.996,0.0,True,6,230.30049627593434,2,791.311868546974,747.8368920797013,0.1690641000022879,True,0,16,41,60,0.8
MILP,0.974,0.02200000000000002,False,6,292.59174237152877,13,455.94484573483265,85.46918416584771,0.2860475870038499,False,0,16,41,60,0.8
Dijkstra,0.996,0.0,True,6,230.30049627593434,2,791.311868546974,747.8368920797013,0.0004025739981443621,True,0,16,41,60,0.8
ILP,0.996,0.0,True,6,230.30049627593434,2,705.8426843811264,705.1022999967776,0.2529506130013033,True,0,16,41,60,0.9
MILP,0.99,0.006000000000000005,False,6,292.59174237152877,5,138.97701997542197,42.73459208292388,0.15932059600163484,False,0,16,41,60,0.9
Dijkstra,0.996,0.0,True,6,230.30049627593434,2,705.8426843811264,705.1022999967776,0.00039575900154886767,False,0,16,41,60,0.9
ILP,0.968,0.0,True,9,451.90050911395974,16,2019.752130985527,434.49042580801756,0.144062038998527,True,1,6,32,44,0.5
MILP,0.964,0.0040000000000000036,False,10,474.9664352104962,18,1741.3341732081508,479.39538936631106,0.08922539500053972,False,1,6,32,44,0.5
Dijkstra,0.968,0.0,True,9,451.90050911395974,16,2019.752130985527,434.49042580801756,0.00044311300007393584,True,1,6,32,44,0.5
ILP,0.9319999999999999,0.0,True,9,303.39414186726896,34,4078.982076618911,340.2958835699049,1.085221356996044,True,1,8,61,4,0.5
MILP,0.916,0.015999999999999903,False,10,326.4600679638055,42,3711.164891358345,362.67499500295054,0.43173807299899636,False,1,8,61,4,0.5
Dijkstra,0.9319999999999999,0.0,True,9,303.39414186726896,34,4078.982076618911,340.2958835699049,0.0003690779994940385,True,1,8,61,4,0.5
ILP,0.95,0.0,True,9,384.588599646054,25,2428.286230913534,328.87614558975326,0.2642542369940202,True,2,6,32,44,0.7
MILP,0.908,0.041999999999999926,False,10,418.45244224892383,46,2161.9001147435665,158.69149981458065,0.15634377399692312,False,2,6,32,44,0.7
Dijkstra,0.95,0.0,True,9,384.588599646054,25,2428.286230913534,328.87614558975326,0.0003850880020763725,True,2,6,32,44,0.7
ILP,0.972,0.0,True,9,384.588599646054,14,1445.096037597212,275.97897898489305,0.29062121199967805,True,2,6,32,44,0.8
MILP,0.97,0.0020000000000000018,False,10,418.45244224892383,15,689.0006768116527,105.79433320972066,0.13687478799693054,False,2,6,32,44,0.8
Dijkstra,0.972,0.0,True,9,384.588599646054,14,1445.096037597212,275.97897898489305,0.00036512199585558847,True,2,6,32,44,0.8
ILP,0.944,0.0,True,9,302.8818254371947,28,2359.5170850609675,299.02550968099877,1.4751222889972269,True,2,8,61,4,0.6
MILP,0.924,0.019999999999999907,False,10,336.7456680400646,38,2060.1138501594405,207.7103683793822,0.5089231050005765,False,2,8,61,4,0.6
Dijkstra,0.944,0.0,True,9,302.8818254371947,28,2359.5170850609675,299.02550968099877,0.00039636600558878854,True,2,8,61,4,0.6
ILP,0.982,0.0,True,2,67.38721435334766,9,1007.3744193529333,397.6877056322654,0.2531878830050118,True,2,12,59,32,0.6
MILP,0.948,0.03400000000000003,False,3,170.39297441186693,26,901.7077609478299,107.27868292078392,0.31479337500059046,False,2,12,59,32,0.6
Dijkstra,0.982,0.0,True,2,67.38721435334766,9,1007.3744193529333,397.6877056322654,0.000308087001030799,True,2,12,59,32,0.6
ILP,0.986,0.0,True,2,67.38721435334766,7,797.4885354655402,370.86803490206944,0.40915138099808246,True,2,12,59,32,0.7
MILP,0.978,0.008000000000000007,False,3,170.39297441186693,11,407.23950007594215,80.45901219058783,0.23677791799855186,False,2,12,59,32,0.7
Dijkstra,0.986,0.0,True,2,67.38721435334766,7,797.4885354655402,370.86803490206944,0.0003090350001002662,True,2,12,59,32,0.7
ILP,0.77,0.0,True,7,344.4443891502421,115,7913.153040756528,418.1479314875605,1.928475619002711,True,2,15,41,63,0.5
MILP,0.728,0.04200000000000004,False,7,363.4518606107969,136,6717.277111467143,192.62795651373676,0.5760672129981685,False,2,15,41,63,0.5
Dijkstra,0.77,0.0,True,7,344.4443891502421,115,7913.153040756528,418.1479314875605,0.00037055100256111473,True,2,15,41,63,0.5
ILP,0.858,0.0,True,6,262.5534581850539,71,4492.456412847239,411.9368184572917,1.3214605699977255,True,2,16,41,60,0.5
MILP,0.832,0.026000000000000023,False,6,281.56092964560867,84,3315.6473550865294,192.40583601438448,0.5265933539994876,False,2,16,41,60,0.5
Dijkstra,0.858,0.0,True,6,262.5534581850539,71,4492.456412847239,411.9368184572917,0.00036217599699739367,True,2,16,41,60,0.5
ILP,0.996,0.0,True,3,172.47737304159247,2,56.72226942696,38.352718345052836,0.5624910299957264,True,3,0,11,32,0.9
MILP,0.994,0.0020000000000000018,False,7,332.10247399300886,3,42.252204315971085,37.39015797695595,0.1687490420008544,False,3,0,11,32,0.9
Dijkstra,0.996,0.0,True,3,172.47737304159247,2,56.72226942696,38.352718345052836,0.000451336003607139,True,3,0,11,32,0.9
ILP,0.962,0.0,True,8,324.04680234445607,19,1369.9274938028468,216.54214798845544,0.6221201900043525,True,3,3,61,47,0.6
MILP,0.956,0.006000000000000005,False,7,346.18189462494377,22,1287.0327424089562,221.83427326040749,0.471829191003053,False,3,3,61,47,0.6
Dijkstra,0.96,0.0020000000000000018,False,9,291.2957650644677,20,1922.8416846247135,347.9051137016836,0.0004626890004146844,False,3,3,61,47,0.6
ILP,0.992,0.0,True,8,346.18189462494377,4,259.55893239543593,113.56319926617971,0.41720575699582696,True,3,3,61,47,0.8
MILP,0.988,0.0040000000000000036,False,8,324.0468023444562,6,216.74695475219823,108.27107399422698,0.3571582959993975,False,3,3,61,47,0.8
Dijkstra,0.99,0.0020000000000000018,False,9,291.2957650644677,5,637.1729804717584,239.63403970745583,0.0004101899976376444,False,3,3,61,47,0.8
ILP,0.944,0.0,True,9,432.10847941758334,28,3187.1667563092587,673.6861286705865,0.26948496700060787,True,3,6,32,44,0.5
MILP,0.94,0.0040000000000000036,False,10,442.8843660352863,30,1966.5113712853777,301.4209600415412,0.08523657299519982,False,3,6,32,44,0.5
Dijkstra,0.944,0.0,True,9,432.10847941758334,28,3187.1667563092587,673.6861286705865,0.00035748899972531945,True,3,6,32,44,0.5
ILP,0.892,0.0,True,8,345.84597844498154,54,5296.864135398787,733.588955899028,1.4718647469999269,True,3,8,61,4,0.5
MILP,0.866,0.026000000000000023,False,9,356.6218650626845,67,3654.900457665548,267.56965211933334,0.4038297689985484,False,3,8,61,4,0.5
Dijkstra,0.872,0.020000000000000018,False,9,313.0949411649931,64,5881.610914784227,614.7851297748794,0.00036446299782255664,False,3,8,61,4,0.5
ILP,0.998,0.0,True,5,293.1475845391996,1,390.7037130214677,390.7037130214677,0.10041977900255006,True,3,9,45,16,0.7
MILP,0.994,0.0040000000000000036,False,6,327.3854422157158,3,376.7982180052345,263.8228360632803,0.09422691699728603,False,3,9,45,16,0.7
Dijkstra,0.998,0.0,True,5,293.1475845391996,1,390.7037130214677,390.7037130214677,0.0003640930008259602,True,3,9,45,16,0.7
ILP,0.924,0.0,True,3,149.59972078150975,38,2010.645307042444,201.03542931264982,0.9661551610042807,True,4,0,11,32,0.5
MILP,0.9,0.02400000000000002,False,6,170.58304527854156,50,1655.5781146425697,135.39841172048418,0.6294515980043798,False,4,0,11,32,0.5
Dijkstra,0.924,0.0,True,3,149.59972078150975,38,2010.645307042444,201.03542931264982,0.0003766289955819957,True,4,0,11,32,0.5
ILP,0.96,0.0,True,3,149.59972078150975,20,1219.894731426947,173.955746968553,0.7327012210007524,True,4,0,11,32,0.6
MILP,0.948,0.01200000000000001,False,6,170.5830452785415,26,668.6433265238351,108.3187293763873,0.3963116019949666,False,4,0,11,32,0.6
Dijkstra,0.96,0.0,True,3,149.59972078150975,20,1219.894731426947,173.955746968553,0.00037296899972716346,True,4,0,11,32,0.6
ILP,0.99,0.0,True,9,305.635848440868,5,1179.5559532226837,727.598300736539,0.4293576940035564,True,4,3,61,47,0.6
MILP,0.986,0.0040000000000000036,False,10,399.00103600353697,7,749.8168863278667,316.2589296143839,0.32767199799855007,False,4,3,61,47,0.6
