alpha,job_order_within_alpha,candidate_count,T_min,T_max,tau,candidate_puncts,mode
0.5,0,13,13.104032441196509,185.2072857563418,99.15565909876916,"[0.0, 0.0, 0.14, 0.86, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08]",exact
0.5,1,3,151.6394741788892,595.766719417743,373.7030967983161,"[0.66, 0.22, 0.84]",exact
0.5,2,8,8.079865396563678,129.49886236384936,68.78936388020652,"[0.0, 0.0, 0.02, 0.0, 0.54, 0.22, 0.0, 0.94]",exact
0.5,3,6,12.540684199923348,196.41876445474267,104.47972432733302,"[0.78, 0.24, 0.0, 0.0, 0.06, 0.02]",exact
0.5,4,1,110.83406247428822,631.6404792422379,371.23727085826306,[0.94],exact
0.5,5,13,11.920909083402538,110.03541304139958,60.97816106240106,"[0.0, 0.0, 0.0, 0.78, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06]",exact
0.5,6,3,183.71225537253113,823.6721818317757,503.6922186021534,"[0.74, 0.68, 0.76]",exact
0.5,7,8,41.27690774047612,247.00637544473742,144.1416415926068,"[0.38, 0.16, 0.3, 0.18, 0.3, 0.76, 0.5, 0.8]",exact
0.5,8,6,23.400246302186115,160.894679197554,92.14746274987007,"[0.76, 0.16, 0.0, 0.0, 0.0, 0.02]",exact
0.5,9,1,88.88424672275659,851.376245895897,470.13024630932676,[0.98],exact
0.5,10,13,26.23740300837843,192.7404838000387,109.48894340420856,"[0.04, 0.12, 0.06, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06]",exact
0.5,11,3,213.8185299722099,794.8752374806766,504.3468837264432,"[0.8, 0.84, 0.78]",exact
0.5,12,8,80.74914115291662,343.3377100357384,212.0434255943275,"[0.96, 0.96, 0.84, 0.94, 0.74, 0.76, 0.82, 0.72]",exact
0.5,13,6,6.2868008952762535,114.1015870172236,60.19419395624992,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0]",exact
0.5,14,1,71.1277769235007,567.5843466396698,319.35606178158525,[0.96],exact
0.7,0,13,13.104032441196509,185.2072857563418,133.5763097617982,"[0.06, 0.0, 0.32, 0.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26]",exact
0.7,1,3,151.6394741788892,595.766719417743,462.5285458460869,"[0.78, 0.48, 0.94]",exact
0.7,2,8,8.079865396563678,129.49886236384936,93.07316327366365,"[0.08, 0.02, 0.06, 0.0, 0.88, 0.36, 0.0, 0.96]",exact
0.7,3,6,12.540684199923348,196.41876445474267,141.25534037829686,"[0.92, 0.56, 0.0, 0.08, 0.28, 0.04]",exact
0.7,4,1,110.83406247428822,631.6404792422379,475.39855421185297,[0.96],exact
